date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:09:25	121500/121500	---M--	200	added ('OK')	image/jpeg	date:Sat,%2011%20May%202024%2017:10:44%20GMT	https://bracketweb.com/ienet-html-main/assets/images/landing/home-dark.jpg	C:/My%20Web%20Sites/infranet/bracketweb.com/ienet-html-main/assets/images/landing/home-dark.jpg	(from https://bracketweb.com/ienet-html-main/about.html)
14:09:25	134832/134832	---M-Z	200	added ('OK')	text/html	date:Mon,%2013%20May%202024%2010:49:26%20GMT	https://bracketweb.com/ienet-html-main/index-dark.html	C:/My%20Web%20Sites/infranet/bracketweb.com/ienet-html-main/index-dark.html	(from https://bracketweb.com/ienet-html-main/about.html)
14:09:25	110088/110088	---M--	200	added ('OK')	image/jpeg	date:Sat,%2011%20May%202024%2017:10:44%20GMT	https://bracketweb.com/ienet-html-main/assets/images/landing/home-boxed.jpg	C:/My%20Web%20Sites/infranet/bracketweb.com/ienet-html-main/assets/images/landing/home-boxed.jpg	(from https://bracketweb.com/ienet-html-main/about.html)
14:09:25	134466/134466	---M-Z	200	added ('OK')	text/html	date:Mon,%2013%20May%202024%2010:49:26%20GMT	https://bracketweb.com/ienet-html-main/index-boxed.html	C:/My%20Web%20Sites/infranet/bracketweb.com/ienet-html-main/index-boxed.html	(from https://bracketweb.com/ienet-html-main/about.html)
14:09:26	110472/110472	---M--	200	added ('OK')	image/jpeg	date:Sat,%2011%20May%202024%2017:10:44%20GMT	https://bracketweb.com/ienet-html-main/assets/images/landing/home-rtl.jpg	C:/My%20Web%20Sites/infranet/bracketweb.com/ienet-html-main/assets/images/landing/home-rtl.jpg	(from https://bracketweb.com/ienet-html-main/about.html)
14:09:26	135270/135270	---M-Z	200	added ('OK')	text/html	date:Mon,%2013%20May%202024%2010:49:26%20GMT	https://bracketweb.com/ienet-html-main/index-rtl.html	C:/My%20Web%20Sites/infranet/bracketweb.com/ienet-html-main/index-rtl.html	(from https://bracketweb.com/ienet-html-main/about.html)
14:09:26	57942/57942	---M-Z	200	added ('OK')	text/html	date:Mon,%2013%20May%202024%2010:49:26%20GMT	https://bracketweb.com/ienet-html-main/movie.html	C:/My%20Web%20Sites/infranet/bracketweb.com/ienet-html-main/movie.html	(from https://bracketweb.com/ienet-html-main/about.html)
14:09:27	58330/58330	---M-Z	200	added ('OK')	text/html	date:Mon,%2013%20May%202024%2010:49:26%20GMT	https://bracketweb.com/ienet-html-main/movie-carousel.html	C:/My%20Web%20Sites/infranet/bracketweb.com/ienet-html-main/movie-carousel.html	(from https://bracketweb.com/ienet-html-main/about.html)
14:09:27	74624/74624	---M-Z	200	added ('OK')	text/html	date:Mon,%2013%20May%202024%2010:49:26%20GMT	https://bracketweb.com/ienet-html-main/movie-details.html	C:/My%20Web%20Sites/infranet/bracketweb.com/ienet-html-main/movie-details.html	(from https://bracketweb.com/ienet-html-main/about.html)
14:09:27	60397/60397	---M-Z	200	added ('OK')	text/html	date:Mon,%2013%20May%202024%2010:49:26%20GMT	https://bracketweb.com/ienet-html-main/team.html	C:/My%20Web%20Sites/infranet/bracketweb.com/ienet-html-main/team.html	(from https://bracketweb.com/ienet-html-main/about.html)
14:09:27	60826/60826	---M-Z	200	added ('OK')	text/html	date:Mon,%2013%20May%202024%2010:49:26%20GMT	https://bracketweb.com/ienet-html-main/team-carousel.html	C:/My%20Web%20Sites/infranet/bracketweb.com/ienet-html-main/team-carousel.html	(from https://bracketweb.com/ienet-html-main/about.html)
